test_time_second,voltage_volt,current_ampere,cycle_count,step_count,step_index,charging_capacity_ah,discharging_capacity_ah,charging_energy_wh,discharging_energy_wh,unix_time_second
160606.95,3.6816628,-0.16496316528320312,6.283185307179586,5,5,0.0,3.1878334960937496,0.0,12.3341826171875,1766553672.255
160616.95,3.6816363,-0.1649658203125,6.283185307179586,5,5,0.0,3.1882919921874993,0.0,12.3358701171875,1766553682.255
160626.95,3.6816282,-0.16496449279785155,6.283185307179586,5,5,0.0,3.1887502441406244,0.0,12.337556640625,1766553692.255
160636.95,3.6816006,-0.16496202087402345,6.283185307179586,5,5,0.0,3.1892084960937495,0.0,12.3392431640625,1766553702.255
160646.95,3.6815758,-0.1649643249511719,6.283185307179586,5,5,0.0,3.1896667480468746,0.0,12.340929687500001,1766553712.255
160656.95,3.6815717,-0.16496343994140625,6.283185307179586,5,5,0.0,3.190124999999999,0.0,12.3426181640625,1766553722.255
160666.95,3.681549,-0.16495149230957032,6.283185307179586,5,5,0.0,3.1905830078124993,0.0,12.344304687500001,1766553732.255
160676.95,3.6815336,-0.16495529174804688,6.283185307179586,5,5,0.0,3.1910415039062494,0.0,12.3459912109375,1766553742.255
160686.95,3.6815066,-0.16495184326171874,6.283185307179586,5,5,0.0,3.1914995117187495,0.0,12.347677734375,1766553752.255
160696.95,3.681496,-0.1649618377685547,6.283185307179586,5,5,0.0,3.1919577636718746,0.0,12.349365234375,1766553762.255
160706.95,3.6814797,-0.1649643249511719,6.283185307179586,5,5,0.0,3.192415771484374,0.0,12.3510517578125,1766553772.255
160716.95,3.6814597,-0.16496263122558594,6.283185307179586,5,5,0.0,3.1928742675781243,0.0,12.3527392578125,1766553782.255
160726.95,3.6814487,-0.16496334838867188,6.283185307179586,5,5,0.0,3.1933325195312494,0.0,12.3544267578125,1766553792.255
160736.95,3.6814268,-0.16495962524414062,6.283185307179586,5,5,0.0,3.1937907714843745,0.0,12.35611328125,1766553802.255
160746.95,3.6814053,-0.16496255493164064,6.283185307179586,5,5,0.0,3.1942487792968746,0.0,12.3577998046875,1766553812.255
160756.95,3.6813974,-0.16495962524414062,6.283185307179586,5,5,0.0,3.1947072753906243,0.0,12.359486328125,1766553822.255
160766.95,3.6813803,-0.1649591827392578,6.283185307179586,5,5,0.0,3.1951652832031243,0.0,12.3611728515625,1766553832.255
160776.95,3.681358,-0.16495494079589845,6.283185307179586,5,5,0.0,3.1956235351562494,0.0,12.362861328125,1766553842.255
160786.95,3.6813405,-0.16495379638671875,6.283185307179586,5,5,0.0,3.1960817871093745,0.0,12.3645478515625,1766553852.255
160796.95,3.681324,-0.16496414184570313,6.283185307179586,5,5,0.0,3.196540039062499,0.0,12.366234375,1766553862.255
160806.95,3.6813126,-0.1649663543701172,6.283185307179586,5,5,0.0,3.1969982910156243,0.0,12.3679208984375,1766553872.255
160816.95,3.6812923,-0.16496316528320312,6.283185307179586,5,5,0.0,3.1974562988281243,0.0,12.369607421875001,1766553882.255
160826.95,3.68127,-0.1649689178466797,6.283185307179586,5,5,0.0,3.1979147949218745,0.0,12.3712958984375,1766553892.255
160836.95,3.6812503,-0.16496157836914063,6.283185307179586,5,5,0.0,3.1983730468749996,0.0,12.372982421875001,1766553902.255
160846.95,3.6812434,-0.16496572875976562,6.283185307179586,5,5,0.0,3.198831054687499,0.0,12.3746689453125,1766553912.255
160856.95,3.6812153,-0.16496192932128906,6.283185307179586,5,5,0.0,3.1992895507812493,0.0,12.37635546875,1766553922.255
160866.95,3.6812062,-0.16495697021484376,6.283185307179586,5,5,0.0,3.1997475585937494,0.0,12.3780419921875,1766553932.255
160876.95,3.6811879,-0.16495025634765625,6.283185307179586,5,5,0.0,3.2002058105468745,0.0,12.379728515625,1766553942.255
160886.95,3.681169,-0.1649521942138672,6.283185307179586,5,5,0.0,3.2006638183593745,0.0,12.381416015625,1766553952.255
160896.95,3.6811528,-0.164958740234375,6.283185307179586,5,5,0.0,3.2011223144531242,0.0,12.3831025390625,1766553962.255
160906.95,3.6811311,-0.16496325683593752,6.283185307179586,5,5,0.0,3.2015803222656243,0.0,12.3847890625,1766553972.255
160916.95,3.6811178,-0.1649628143310547,6.283185307179586,5,5,0.0,3.2020385742187494,0.0,12.3864765625,1766553982.255
160926.95,3.681102,-0.1649628143310547,6.283185307179586,5,5,0.0,3.2024968261718745,0.0,12.3881630859375,1766553992.255
160936.95,3.6810791,-0.16496388244628907,6.283185307179586,5,5,0.0,3.2029550781249996,0.0,12.389849609375,1766554002.255
160946.95,3.681061,-0.16495980834960938,6.283185307179586,5,5,0.0,3.2034133300781242,0.0,12.391537109375001,1766554012.255
160956.95,3.6810424,-0.16496644592285156,6.283185307179586,5,5,0.0,3.2038715820312493,0.0,12.3932236328125,1766554022.255
160966.95,3.681029,-0.16495803833007813,6.283185307179586,5,5,0.0,3.2043298339843744,0.0,12.39491015625,1766554032.255
160976.95,3.6810067,-0.16495246887207032,6.283185307179586,5,5,0.0,3.2047880859374995,0.0,12.3965966796875,1766554042.255
160986.95,3.6809952,-0.16495051574707031,6.283185307179586,5,5,0.0,3.2052460937499996,0.0,12.398283203125,1766554052.255
160996.95,3.6809723,-0.16495388793945312,6.283185307179586,5,5,0.0,3.2057043457031242,0.0,12.3999697265625,1766554062.255
161006.95,3.6809669,-0.16495999145507814,6.283185307179586,5,5,0.0,3.2061625976562493,0.0,12.40165625,1766554072.255
